,City,Date,Text,Username
263,Sweetwater,2022-09-27 16:34:48+00:00,Hurricane IAN is coming prepare ASAP https://t.co/oEuiXHC3Pp,MetaTwerk
264,Sweetwater,2022-09-26 22:36:09+00:00,Scam likely don’t take breaks during the storm?,N_3_3_N85
265,Punta Gorda,2022-09-26 20:11:50+00:00,@GSmokesweed1 Waiting for a hurricane so a Monday Bloody Mary is in order. You know last drink and all that shit….😂,mcdermottpamel1
266,Miami Gardens,2022-09-29 17:56:00+00:00,Hurricane Ian to likely become one of the most catastrophic natural disasters and hurricanes to hit the continental United States.,PatrickMurray44
267,New Smyrna Beach,2022-09-28 23:36:02+00:00,Did not have “survive a hurricane” on my bucket list but here we are 🙏🏽 prayers to the beautiful  state of Florida #Hurricane_Ian https://t.co/iLOfmqZYrK,rach_elizabethh
268,West Palm Beach,2022-09-28 18:35:58+00:00,"Stormy no school day,  Stephanie is working from home so I'm taking a shift with Winter. So thankful we are not getting the worst of the hurricane. @ Jupiter, Florida https://t.co/Vo9xgX87DB",MissPhyllis5
269,Miramar,2022-09-26 21:45:33+00:00,Up to 36% as of 5pm... #Miami #Ian https://t.co/xfceMdqVdq,BMcNoldy
270,Hollywood,2022-09-28 01:29:40+00:00,@_____TeReSa___ @visitlauderdale @FTLCityNews @RiverwalkFTL @VISITFLORIDA @ddaftl It’s not looking good for that area 🌀 #Ian #HurricaneIan,SashaEats
271,Lantana,2022-09-29 22:58:29+00:00,Why do I have Nebraska and California friends marking themselves safe from Hurricane Ian? They also were not in Florida at the time either.,got__MELK
272,Clearwater,2022-09-27 23:40:20+00:00,Actual calm before the storm… 🌀#HurricanIan https://t.co/p3vSZl0kZi,_jerrbear_
273,Bradenton,2022-09-29 08:22:59+00:00,"The ABC7 team is continuing to keep you informed, switching gears focusing on the aftermath of #Ian as the storm is set to move into the Atlantic today as cleanups begin.",ShaneBattisTV
274,Maitland,2022-09-29 14:50:07+00:00,another update on the hurricane. we’ve lost power for about an hour now and part of our fence is broken in the back. we’re all still doing okay though https://t.co/TV526gptbK,boujeenami
275,Safety Harbor,2022-09-26 12:33:39+00:00,A behind the scenes view with @JimCantore this morning in the Clearwater Beach/Sand Key area. Continuing coverage of Hurricane #Ian on @weatherchannel with crews spread all along the threat area. #weather #hurricane @StevePetyerak @HDcameradude https://t.co/lPGK9aUbN2,CharlesPeekWX
276,Melbourne,2022-09-27 19:35:01+00:00,"I just want to thank @anthonyalfredo for this extremely informative &amp; helpful #hurricane #safety video. It has helped me prepare &amp; ensure @josephcluttrell &amp; I stay #saucesafe during #HurricaneIan. @_em_brooks thank you for this gift. 😂

https://t.co/lPiG192FCI",ctluttrell9
277,Plantation,2022-09-28 13:33:39+00:00,ian is going to pass right over my brother in the next 2 hours &amp; is right below a cat 5 so keep the good vibes coming please ❤️,caitlin__cara
278,Clearwater,2022-09-25 18:08:28+00:00,I am doing the Hurricane preparedness stuff today and tomorrow.May not be posting much the next few days,MachaRedOne
279,Orlando,2022-09-28 20:37:06+00:00,"So we’re basically right in Hurricane Ian’s path, but hopefully it will be past us (and much weaker) by tomorrow afternoon",Charles_Harned
280,Miami,2022-09-28 12:01:56+00:00,El Ojo de Ian es más grande que el Lago Okeechobee 🙆🏿‍♂️🙆🏿‍♂️🙆🏿‍♂️,MendezAlex03
281,Lake Mary,2022-09-29 14:39:25+00:00,"Living inland, we are fortunate to be shielded from the worst of the storm https://t.co/HETOyeTt8D",ChagoBaa
282,Winter Springs,2022-09-28 12:32:40+00:00,ian vibes https://t.co/bpfH98mXAy,lilpaigeyyy
283,Hollywood,2022-09-27 20:00:11+00:00,Can someone please tell Ron DeSantis he is directly in the path of Hurricane Ian and he needs to evacuate immediately and NEVER COME BACK!! #HurricaneIan,CharlesBaran11
284,Plantation,2022-09-28 13:36:08+00:00,Sorry I’m late for work the hurricane slowed me down,shanecenters
285,Palm Bay,2022-09-28 12:40:22+00:00,We currently have hurricane 🌀 and tornado 🌪 warnings here in Satellite Beach Florida! I hope everyone stays safe and have a great day.,surfmom56
286,Pompano Beach,2022-09-27 18:42:46+00:00,It’s a hurricane not a snow storm 😂😂😂😂 @ The Fresh Market https://t.co/JMmtVjgIE4,tgvaldes
287,St. Petersburg,2022-09-28 18:18:02+00:00,Just heard @PaulFox13 say you can see blue sky right now over #SanibelIsland and #captiva. They’re in the eye of #HurricanIan,CynthiaSmoot
288,Pembroke Pines,2022-09-25 00:09:27+00:00,Caresha finner den a bitch Ian gone hold you,uluvtamarlese
289,Miami,2022-09-26 17:58:48+00:00,"Hurricane Ian
2:00 PM EDT Mon Sep 26 
Location: 19.7°N 83.0°W 
Moving: NNW at 13 mph 
Min pressure: 976 mb 👀
Max sustained: 85 mph",JohnMoralesTV
290,South Miami,2022-09-25 22:24:11+00:00,"“Ian’s forecast track threatens hurricane hit to Florida’s Panhandle; South Florida expects rain bands * South Florida is out of the cone after Ian shifts west, may feel storm’s effects Tuesday-Wednesday” https://t.co/IUMkiDkUmW",CBoomerVazquez
291,Aventura,2022-09-29 00:41:18+00:00,"Attention shoppers. Despite the Florida hurricane activity outside (actually at some distance), as of this moment, Nat and I are alive and dry and our computers are fully charged. We realize now why there was no water at the grocery store.",tankbottoms_xyz
292,Winter Springs,2022-09-27 22:12:59+00:00,"Covid-19 4th booster check 
Monkey pox vaccine 2nd dose check 
Meningitis vaccine check 
Seasonal flu shot check 
Other meds and antibiotics check 
Hurricane food and supplies check",rodrigolevine
293,Sarasota,2022-09-29 04:53:43+00:00,Grateful hurricane Ian wobbled a bit away from us. Concerned about those in direct path.,janeric71491581
294,Lakeland,2022-09-29 12:54:00+00:00,"Check in. I hope everyone is doing Ok, finally got power after losing it for 10hrs, the weather is very cold and calm now but other than losing power we mad it through the storm #hurricaneian 🌀",JourneywJosh
295,Fort Lauderdale,2022-09-28 13:30:33+00:00,"We had some idea this round of intensification was likely, but did not expect sub 940MB. #Ian is spinning over rocket fuel water &gt;86 degrees F",watkinstrack
296,Palm Coast,2022-09-29 06:48:40+00:00,Hurricane Ian Update: We lost power at 2:25am.,enchanted_holly
297,Plantation,2022-09-29 16:42:41+00:00,@dr_tgpeterson @NimishaBarton Oh...hurricane season aligns with arctic AC blasts in my building. It's sweater weather inside!,bobbijwalker
298,Winter Springs,2022-09-27 17:40:02+00:00,@therealkrupster I assume he doesn’t live in Florida and all of his hurricane knowledge comes directly from national media and not decades of living through them.,R_Barnes407
299,Winter Springs,2022-09-28 23:17:35+00:00,⛽️Several people not finding gas here in Central Florida. Hurricane Ian continues to make its way across the state.,CurtisDMcCloud
300,Tampa,2022-09-29 22:55:40+00:00,Anybody getting scam “hurricane fundraising” emails or texts yet? Absolute jackals. #Ian,panic4life23
301,Pembroke Pines,2022-09-28 19:00:02+00:00,"Uh oh, I better get vaccinated so I can handle this hurricane!!! So demented. Who let him say that???",CoachDarby11
302,Pembroke Pines,2022-09-28 19:24:43+00:00,"why is every @pollotropical closed??? this is miami, we don't care for no damn hurricane #Ian",krazee_art
303,Hialeah,2022-09-28 17:35:53+00:00,Hurricane diet! https://t.co/YKBvwoxF3O,ramfel104
304,Sanford,2022-09-28 02:13:18+00:00,"For the latest on Hurricane Ian tune into WRDQ TV27 right now for our team coverage at 10p and the WFTV Ch9 starting at 11pm.

#HurricaneIan #wftv #orlandofl https://t.co/tf6MtNXKk7",tomnebel
305,St. Petersburg,2022-09-24 12:30:19+00:00,Things gonna get crazy next week with the weather. Brother Tom will get us through it https://t.co/5dJ25hN3wD,BrotherTrey
306,Maitland,2022-09-29 22:41:10+00:00,"For those in the Orlando area needing gas, the BP on the corner of OBT and Lee Rd is open. Gas is $3.39 a gallon. Be safe when out driving, there is a ton of flooding and debris on the roads from Hurricane Ian.",DynamicThrills
307,Lakeland,2022-09-24 15:39:56+00:00,@NWSTampaBay What frequency do you monitor locally here?  I want to make sure radios are programmed and ready for Ian.,ebabcock80
308,Winter Springs,2022-09-23 18:48:46+00:00,Hurricane next week 😩,Latinvixen
309,Hialeah,2022-09-28 07:16:13+00:00,Fucking hurricane 😑😑,sordosgoitiat
310,Plant City,2022-09-27 17:11:07+00:00,@SaltyBuc91 Further south now. No storm surge in Tampa Bay now.  Sunday weather. https://t.co/MagzphspmF,draper_robert
311,Orange City,2022-09-28 18:45:55+00:00,"Port Orange, FL (2:29 PM)Grid Power Outage Event&gt;&gt; The Ting Network detected an Electric Utility Grid Power Outage event. The event started at 2:29 PM local time and impacted at least 4 homes.",grid_events
312,Aventura,2022-09-23 13:56:30+00:00,"#FL peninsula hasn’t had a hurricane make direct landfall since 2017…Hurricane Irma. 

Enter- next week…",SamBrockNBC
313,Cape Coral,2022-09-28 10:41:51+00:00,"After sleeping here at the station, I’ve woken up to the 5am forecast cone just like many of you. 
#IAN has strengthened into a Category 4 storm as we expected and is now only a little over 30 miles off shore. 
Unfortunately, SWFL is going to be a part of a historic storm. https://t.co/ZyXrXeI4hr",julianavmwx
314,Punta Gorda,2022-09-28 17:37:29+00:00,Currently in Punta Gorda FL roughly 6 ft above sea level as we begin to experience the outer edge of the eye of #Hurricane_Ian. #Weather #Hurricane #Storm https://t.co/KeTTxOz71N,LLN_Jack
315,Pompano Beach,2022-09-27 20:49:02+00:00,"It’s been raining cats &amp; dogs since yesterday. First break this afternoon and there is some serious flooding. This is just from the outer bands of #Ian I can’t even fathom the true extent of Ian if this is just what the outer bands look like.
#southflorida #FLL #fortlauderdale https://t.co/37ZCiPvHVR",JenHemmerdinger
316,South Miami,2022-09-25 17:38:20+00:00,"Just climbed the Cape Florida Lighthouse in Key Biscayne. Originally built in 1825, it has survived it’s fair share of hurricanes over the years. https://t.co/IEwqn40r5C",SammyHadiWx
317,Winter Springs,2022-09-29 02:08:22+00:00,Watch FOX Weather LIVE | FOX Weather https://t.co/3zXAS5CWN7 #FoxWeather,DavidMonty2010
318,Lake Mary,2022-09-29 08:16:29+00:00,Well made it till 4 a.m. before we lost power 😅,ThatGirl_Jackie
319,Hialeah,2022-09-24 15:14:55+00:00,@aegpresents Can you help me transfer venues for Ben Platt? 😭 a hurricane in FL ruined my plans https://t.co/bHMmcRwimO,moartmoproblemz
320,Plant City,2022-09-27 20:46:13+00:00,Just another #hurricane in #florida 🌀 #hurricaneIan https://t.co/vFIikZ6mmM,KingdomLoose
321,Tampa,2022-09-26 23:03:20+00:00,"🔥 2,000K+ #Google searches 4 Hurricane Ian tracker 16h old https://t.co/5qT1QM3f3W https://t.co/XaX7Tz0rtN 
#Tampa 🌅 7:20 🌆 19:21 CDT
#Covid
#HillsboroughCounty 09/23/2022
New Cases 15DMA 185 Δ-27.9%
New Deaths 15DMA 2 Δ+100.0% https://t.co/EIAJgczuWV",trendsmetadata
322,Lantana,2022-09-28 21:23:57+00:00,Hurricane Ian fucking over fort Myers’s rn sheesh https://t.co/apr5K3uDIO,Lilrichyburner
323,Orange City,2022-09-29 11:24:43+00:00,Hurricane IAN 🌀 https://t.co/1c1k07iWIg,tolgaguler_
324,Lakeland,2022-09-29 02:03:17+00:00,"I’m tired of waiting for the bad weather to get worse so I am going to bed. Ian can wake me if he has something further to say. We have some trees down, our fence is down, but nothing to the house thankfully at this point. FL friends I hope you’re all safe + sheltered. Love y’all",VanPlating
325,Miami,2022-09-28 22:38:31+00:00,@DaoKwonDo Ole faithful with new rubber for this hurricane ⛈🌪 https://t.co/UGJBVbdc6H,alyssawolfe
326,Punta Gorda,2022-09-27 20:20:25+00:00,"The City Utilities Department is discontinuing potable water service to the island of Venice around 8 p.m. this evening (Tuesday, 9/27) as Hurricane Ian approaches. Water service will be left off throughout the duration of the storm and while any repairs are completed.",CityofVeniceFL
327,West Palm Beach,2022-09-27 01:19:12+00:00,The Bucs are spending the week down this way while Ian churns in the Gulf. https://t.co/EQxsHXsctY,PeteBurke
328,Orange City,2022-09-27 17:19:03+00:00,I hate this waiting game. Freaking hurricanes,CherriRioux
329,Safety Harbor,2022-09-26 18:58:41+00:00,"Tampa HC Todd Bowles on hurricane Ian affect on the week ""Right now we're still monitoring things, but we're working things out with the league and we should have a decision hopefully later on today about what we're going to do.""",Ruththetruthhh
330,Miami Beach,2022-09-25 03:01:53+00:00,"The calm before the storm. 
Can’t wait until tomorrow. 🙏🏼#FinsUp https://t.co/pf0UGSt39j",FinsPost
331,Lake Mary,2022-09-25 09:02:46+00:00,"5AM ET UPDATE: Tropical Storm #Ian has maximum sustained winds near 50 mph with higher gusts. Rapid strengthening forecast to begin today; expected to become hurricane later today and reach 
major hurricane strength by late Monday before it reaches western Cuba. @livenowfox https://t.co/in8CmoSoo1",JoshBreslowTV
332,Plant City,2022-09-27 23:41:55+00:00,the calm before the storm✨🌀 https://t.co/A2geSz0xuM,annecarpenterr
333,Titusville,2022-09-29 14:05:48+00:00,@Jayecane @AIexTheone_OG Please me single dad if 3 now dealing with this stupid hurricane god bless,idontgetrired
334,Lake Mary,2022-09-29 03:27:57+00:00,"@CityofVeniceFL Just so sad, we love Venice, God Bless you through this storm.",TFPayneCLE
335,Orlando,2022-09-27 20:50:52+00:00,Disney will close because of Hurricane Ian,MarleiMartinez
336,Miami Beach,2022-09-23 23:33:10+00:00,No one is talking about a hurricane at the high school football game #Ian #FridayNightLights https://t.co/TeWNmhV8nI,jeffkleinman
337,Winter Springs,2022-09-26 11:56:52+00:00,"I urge everyone to follow people like @BrianWFTV @Fox35Amy @EricBurrisWESH and other weather people from whatever station you watch if you live in @OrlandoFL407 @OrangeCoFL or are @VisitOrlando  
Ian is expected to become a major storm.

Stay Safe Friends!
#HurricaneIan !! https://t.co/TmTUeW4ie9",haha_spa
338,Safety Harbor,2022-09-28 19:22:14+00:00,@pwhittenstock Oh please I’m in the hurricane,JJJJacksonBoone
339,Plantation,2022-09-23 23:22:12+00:00,You know we do have a big football game this weekend. What’s the storm gonna do?,jeffkleinman
340,Sunrise,2022-09-28 06:08:07+00:00,"At 10:14 PM EDT, 1 NW Dania Beach [Broward Co, FL] ASOS reports TROPICAL STORM. ASOS STATION KFLL FORT LAUDERDALE/HOLLYWOOD INTL AIRPORT MEASURED A GUST OF 41 MPH. https://t.co/8CbWhGptES",iembot_mfl
341,Boynton Beach,2022-09-27 17:34:28+00:00,…..mean while back in Palm Beach County to escape Hurricane Ian! https://t.co/JxwHwtEXdU,EdwinShaffer7
342,Hialeah,2022-09-28 18:42:56+00:00,"My heart to the people in #FortMyers and vicinities. I just heard @JohnMoralesTV describing it as ""a catastrophe in the making"" ""possibly the most costly hurricane on history"" Please everyone stay safe. #hurricaneian #florida https://t.co/UROVUJ4I8z",ANDREINA2100
343,Orlando,2022-09-29 07:31:22+00:00,"I’m sorry for the abrupt end to stream. Hurricane Ian says no more stream tonight.

🙏 Hoping power is good tomorrow for our 12 hour stream.",VahriTV
344,Maitland,2022-09-26 03:57:11+00:00,Tampa Bay is going to get rocked by storm surge from Ian. We’re also going to get some wind and a lot of rain here in metro Orlando.,cajun_chris4
345,Sebastian,2022-09-26 20:37:45+00:00,@TammyNP3 Same here. I got all my water and supplies last week. This stupid storm can’t make up its mind,kristyalbano214
346,Clearwater,2022-09-26 11:17:36+00:00,@theone90x I'll have to wait until brunch. Got a couple of important errands to run this morning ahead of hurricane Ian,escapedorlando
347,Brandon,2022-09-29 14:54:40+00:00,@Bbonjour17 Pissed off I lost power an hour ago after the storm is gone but all said and done fine cuz the weathers nice.,DaBolt727
348,Cape Coral,2022-09-28 18:54:11+00:00,"Southwest Florida- talk to me. If you know of anyone in danger from Hurricane Ian, comment or DM me addresses and the situation so I can get this info to authorities asap

MY DMS ARE OPEN",BrendonLeslie
349,West Melbourne,2022-09-24 22:53:34+00:00,"NASA Cape Carnival Launch Pad. Artemis I launch was postpone for weeks due to unfavorable weather conditions. It’s been taken off the launch pad for maintenance. NASA states possible go for launch will be Tues, 9/26 before Tropical Storm/ possible Hurricane Ian arrives. 🚀 https://t.co/Yq7VzX06Hy",PaganAlicia
350,Aventura,2022-09-28 14:12:35+00:00,Direct mail vendors during a Hurricane  in South Florida telling the printers to keep dropping their mail: https://t.co/TfTCCPZtsP,michaelworley
351,Miami Gardens,2022-09-28 18:54:21+00:00,Sending prayers to those that are impacted by Hurricane Ian.,JamesJTMadison2
352,Hollywood,2022-09-29 15:29:54+00:00,#PrayForFlorida #HurricaneIan #HurricanIan #Impact ... 2M Without Power and Many Missing https://t.co/PuSoXzqws8,FredChristian10
353,Tampa,2022-09-27 16:50:54+00:00,ok where the hurricane party @,arriialv
354,Miami Gardens,2022-09-23 16:26:45+00:00,Hurricane conditions --possible-- in my area Tuesday night🌀 https://t.co/UY6ka81ldK,DavidVergel97
355,Tampa,2022-09-28 19:22:14+00:00,@pwhittenstock Oh please I’m in the hurricane,JJJJacksonBoone
356,Hialeah,2022-09-28 02:37:29+00:00,@TradesTrey Who would've thought the vaccine could protect against hurricanes! Another W for science 🤯,actionxander
357,Miramar,2022-09-28 09:54:16+00:00,"#Ian is not #Charley...
Although the tracks of Cat4 Ian '22 and Cat4 Charley '04 are eerily similar, the sizes are VERY different. As of 5am Wednesday, Ian's area of hurricane-force winds is 2.9 times larger, and its area of tropical storm force winds is 2.3 times larger. https://t.co/wCWPiJDzfh",BMcNoldy
358,Palmetto Bay,2022-09-28 10:58:22+00:00,A hurricane is when the sea and the sky say “FUCK YOU!”,3sant05
359,Lakeland,2022-09-28 06:52:48+00:00,#HurricaneIan update: Don’t know if this is a temporary wobble or a trend but Ian looks to be going due north atm. Implications for my immediate chase plans. Might sit in Sarasota and monitor for a bit. https://t.co/qMG6JdPuXP,hurricanejrnl
360,Miami Beach,2022-09-24 23:57:34+00:00,@VivianGonzalez7 Latest model for the Hurricane 🌀 https://t.co/z4kiMMdgyx,Syddoc
361,Pompano Beach,2022-09-29 17:56:00+00:00,Hurricane Ian to likely become one of the most catastrophic natural disasters and hurricanes to hit the continental United States.,PatrickMurray44
362,South Miami,2022-09-28 00:32:04+00:00,@reid_lt Charley probably would have had an ERC with another 12 hours over water. Every storm is different as you know.,AndyHazelton
363,Hialeah,2022-09-29 21:19:39+00:00,"“Just last month, Local 10 News reported on the state of Florida’s homeowners #insurance market, with multiple companies pulling out of the Sunshine State over the last year. Many homeowners have found themselves with few options.” More: 
https://t.co/ruseDOonaA #Ian",CBoomerVazquez
364,Brandon,2022-09-25 21:30:59+00:00,"Very grateful to @noticiastelemundo for giving me the opportunity to be on your national broadcast today.  Thanks @janecastor for atenden me today about storm preparations #Ian #busyday 📲📸📺🎥 @ Tampa, Florida https://t.co/MQXWcTmGQS",JuanPosadaTV
365,West Melbourne,2022-09-28 20:31:20+00:00,"hurricane sale 🌀 

the storm is going to hit our area soon, so my entire website today through thursday night is 20% off with code IAN! stay safe everyone 🤍 https://t.co/TaEL5TlgB0",magickalmisty
366,Pompano Beach,2022-09-28 18:54:15+00:00,"@IntroSpecktive Thank you, this hurricane sucks ass… 😔❤️",Charl_E4
367,Cape Coral,2022-09-25 03:58:55+00:00,Water gate package box hurricane storm ⛈️ https://t.co/E4UN4zMAnW,jonathanluispon
368,Lakeland,2022-09-27 18:15:19+00:00,"Wouldn't be surprised to see an eyewall replacement cycle in #Ian at some point. Several feeder bands, one of which seems to be wrapping into an outer eyewall with lightning. This can (temporarily) lower peak winds but make the storm larger, expanding impacts (including surge). https://t.co/aVHy8vm87B",AndyHazelton
369,Miramar,2022-09-29 17:54:02+00:00,Hurricane IAN hit the rest of Florida pretty hard! I’m hearing people have lost homes to flooding in the New Smyrna Beach &amp; Daytona Beach areas. Sad 😞,J_Rouse420
370,Lake Mary,2022-09-29 18:52:48+00:00,#HHN2022 #HalloweenHorrorNights  having a blast during Hurricane Ian in Orlando https://t.co/UKlF8fmwfl,Stopcryinglose1
371,Palmetto Bay,2022-09-26 14:50:26+00:00,"@4JoshReed @Marcel_LJ It is. It's hard to describe too, because you see 90 degree temp and think ""not that bad."" It's also humidity and subtropical sun...it's absolute unrelenting weather. There's no preparation. After a lifetime of it I endure it better than most, but ""endure"" is all you can do.",MiamiMaltBomb
372,Clearwater,2022-09-29 14:12:31+00:00,"I live in Florida the  hurricane Ian is not political. The response will be from a national level , state level and local level so Democrats better be careful who you blame cause it might be Biden or local Democrats Leaders. Many mayors are Democrats in big cities in Florida. https://t.co/SHln5Ul2Lx",ScottWa91433575
373,Hialeah,2022-09-24 18:38:09+00:00,"I dont think I've ever seen a disagreement this massive between the Euro (Tampa Bay) and the GFS (Western Panhandle)

Kinda wild 😳
 #Ian 🌀",volvoshine
374,Tampa,2022-09-29 21:27:12+00:00,@xTeamZuleta24x @martymush Thank you Chris! Hurricane has left us here where I am in st Pete. But my friends in ft myers unfortunately need some help 🫶🏽 appreciate the well wishes,siennacarraccio
375,Miami Beach,2022-09-27 19:44:51+00:00,Marco Island in Collier County: mandatory evacuation amid Hurricane Ian’s predicted storm surge https://t.co/aLlyO0d8lq,Omar_fromPR
376,Clearwater,2022-09-25 15:10:57+00:00,if this hurricane can go ahead and cancel this whole week for me😇😇😇,23_CSH
377,Tampa,2022-09-28 13:07:34+00:00,Comparing 2004’s Hurricane Charley to #Ian. ALL of Charley fits in Ian’s eye. @weatherchannel is live 24/7 to keep you informed and safe 🌀 https://t.co/6TXkOYea4p,JMichaelsNews
378,Winter Springs,2022-09-28 17:02:57+00:00,"Luckily I already lost most of my big trees in previous hurricanes. 
#hurricane #hurricaneian https://t.co/pgjwkSPqWl",CourtneyWMay
379,Plantation,2022-09-29 11:38:20+00:00,"…having my coffee and 👀 LOOK, it’s a beautiful Sunny morning after such a gloomy past 2 days!! I hope everyone is safe and sound from #HurricanIan https://t.co/SvCYDC1jYk",BeachBunnyWader
380,Clearwater,2022-09-27 20:34:14+00:00,"to all of my gulf coast floridians, please be safe with this Hurricane Ian. my family and i are evacuating toward the Atlantic..prayers with you all 🙏🏽🙏🏽🙏🏽",aethwonder_NWE
381,Brandon,2022-09-29 10:57:49+00:00,"This is what I was warning about for the last couple of days, the west side of the eye wall would be stronger. Incredible storm. #flwx #Ian #HurricaneIan",GregDeeWeather
382,Sweetwater,2022-09-27 23:14:37+00:00,"Typical Biscayne
#Miami #flwx #ian https://t.co/joRgY9xwmK",volvoshine
383,Lakeland,2022-09-28 21:10:51+00:00,(Polk County) Hurricane Warning in #Polk #traffic https://t.co/KJgf5PvuU6,TotalTrafficTPA
384,Jacksonville,2022-09-29 10:01:48+00:00,"Ian may have been downgraded to a tropical storm, but gusty conditions remain. @FCN2go https://t.co/y889NwbvaY",News_MTorres
385,Boca Raton,2022-09-26 18:09:50+00:00,12z Euro shifts back east #IAN https://t.co/RzHaQ6yR1z,HurricanesJames
386,Daytona Beach,2022-09-29 14:27:24+00:00,I’m officially terrified of hurricanes. We’re in the thick of it right now and Ian has been downgraded to a TS in our area. My brain can’t comprehend what a cat 4 would be like rn,emileesi_
387,Miami Beach,2022-09-26 11:30:44+00:00,La tormenta Ian se convirtió en un huracán de categoría 1 y se acerca a Cuba - Infobae https://t.co/LIY753DPzK https://t.co/ZfF1TpTDHD,OpyMorales
388,Miami Gardens,2022-09-28 21:11:43+00:00,Ima blow this shìt Ian stingy 🔝,Jaylaaaronique1
389,St. Petersburg,2022-09-24 03:23:51+00:00,Ian said “I go where I want” #TropicalStormIan https://t.co/hMrEmKrLJM,GeoZaroff
390,South Miami,2022-09-28 22:18:21+00:00,My sister in Lakeland reports they just lost power with Hurricane Ian. Not surprised - I imagine there are some gusts to 70-80 over Polk and Hillsborough right now. The core of strongest winds is still south over Sarasota/Manatee/Hardee/DeSoto and moving slowly NE. https://t.co/ZZlscbbt9l,AndyHazelton
391,South Miami,2022-09-26 15:05:23+00:00,"I love #MIAMI, but at times I’ve really got to do a reality check. Thoughts and prayers for everyone in Ian’s path. 🙏🏻❤️🌪 @ Miami Beach, Florida https://t.co/s3rHEENqrG",vcfederici
392,Aventura,2022-09-29 00:29:14+00:00,Future Meteorologist Preston Chatman is providing live reporting on Hurricane Ian...#hurricaneian #WeatherUpdate #meteorologist @John_Garrish @thegr11z @NBCNews @Theweathercentr @CityofWeston @GatorRunElem @FootballHotbed @FalconCove https://t.co/DZPVz7fa0Q,_PrestonChatman
393,St. Petersburg,2022-09-26 21:18:56+00:00,ALERT PINELLAS: Hurricane Warning / Storm Surge Warning Issued for Pinellas County. Latest: https://t.co/msObOJoU5p and https://t.co/WEnbV8hEH8,BernyJacques
394,Palmetto Bay,2022-09-27 13:42:12+00:00,⚠️The western city of #PinardelRío being battered fiercely by the winds of #HurricaneIan #Hurricanes #HurricaneSeason #stormwatch @US_Stormwatch @stormchasernick https://t.co/afvsb68Uqt,Actions4Freedom
395,Aventura,2022-09-28 22:07:13+00:00,"A post-hurricane bike ride around town to see if there was any damage resulting from the storm to my neighborhood. Happy to report that Ian was good to Downtown Fort Lauderdale. 

Thank you weather-gods! Wishing folks on the west coast a speedy recovery #CycleSeptember  🌀🚲… https://t.co/oPio4kMwMi",jesusfuentes80
396,Safety Harbor,2022-09-28 10:59:06+00:00,"Actually Mercury, Jupiter, Saturn, Uranus, Neptune &amp; Pluto are in retrograde with Hurricane Ian rolling up the Florida coast effing up my travel plans &amp; I don’t appreciate it! 
#retrogradeseason #Ian #thisisbullshit https://t.co/v8dcp8IlIc",KingsManorKid
397,Miramar,2022-09-24 08:55:18+00:00,5 a.m. advisory of Tropical Storm Ian: https://t.co/uO9Z8R1P3m,Omar_fromPR
398,Aventura,2022-09-23 19:00:26+00:00,@RomanJoySays They have power again. Mom said they lost power several times through the night but now it’s back for now.,Omar_fromPR
399,Lauderhill,2022-09-29 00:48:49+00:00,"@WarnockWarrior Hurricane Ian is classified as a Category 4. However, if it threatens Mar-a-Largo, Trump says he can declassify it — by just thinking about it",JamesAlexBond
400,Fort Lauderdale,2022-09-24 00:06:06+00:00,Florida Hurricane Season 2022! What To Know! #hurricaneguide #Hurricane #hurricaneian #Florida #Fiona https://t.co/2oXZHRFlDR via @YouTube,SoooBoca
401,Tampa,2022-09-27 02:36:55+00:00,A big storm like Irma or Ian that is projected to swallow the entire peninsula — you literally can’t leave the state of Florida from Naples or Ft Lauderdale on one tank of gas,raylehmann
402,Weston,2022-09-28 22:14:21+00:00,A furia do Furacão Ian https://t.co/hkxmlRpJte,Rosie2Bee
403,Miramar,2022-09-24 15:32:15+00:00,"Good news for the #Miami area regarding #Ian: Tropical storm probabilities have dropped to 28% and the hurricane probability is down to 2%. If tropical storm conditions do occur, they'd begin Tuesday evening. The forecast can change, so pay very close attention &amp; do basic prep! https://t.co/UVG9jLAzg1",BMcNoldy
404,Plant City,2022-09-24 15:55:54+00:00,Looks like a Big Blow is headed towards Tampa Bay. Hurricane Ian could make life very interesting.🌪🏊‍♂️🌪🏊‍♂️,midwestsweetie
405,Lakeland,2022-09-29 18:58:12+00:00,Lost power at the ice cream shop 😞,Bebesuqii
406,Palmetto Bay,2022-09-29 17:13:08+00:00,“Many trapped in Florida as Ian heads toward South Carolina” https://t.co/nIaVWY0sl2,CBoomerVazquez
407,Safety Harbor,2022-09-29 19:03:28+00:00,"Who would of thought the first hurricane I'd experience in FL would be arguably the worst one in the states history 🤦‍♂️ Jus insane. I've now seen a hurricane, tropical storm, tornado &amp; earthquake which I slept through 😂💀 I'd have to say Ian beats them all by along shot too.",CheesyCapizzi
408,Boynton Beach,2022-09-28 13:29:09+00:00,"@JeffreyKleintop I had an idea when I was in middle school science class of dropping a bomb on liquid nitrogen in a hurricane... No idea if it would work or not, I figured cooling it would help",YairLight
409,Orlando,2022-09-28 17:45:47+00:00,"Insane live feed of the storm surge coming from Ft Meyers Beach shown on The Weather Channel as the eye of the hurricane hits. Ft Meyers is catastrophically broken, to use a popular crypto term. #HurricanIan https://t.co/4ovOolcIWX",LarryMiles
